experiment,activation,seeds,num_seeds,metric,min_gamma,min_value,max_gamma,max_value,abs_range,rel_range_pct,largest_adjacent_gamma_pair,largest_adjacent_delta,gamma_values
discontinuous_gradient,cubic,"42,43,44,45,46",5,neurons,10.0,19.2,0.0,35.4,16.2,84.375,0.01->0.1,11.399999999999999,0:35.4; 0.01:32; 0.1:20.6; 1:26.4; 10:19.2
discontinuous_gradient,cubic,"42,43,44,45,46",5,near_score,10.0,7.556237134880533,0.0,13.931706375754295,6.3754692408737625,84.3735992805705,0.01->0.1,4.486447929782724,0:13.9317; 0.01:12.5936; 0.1:8.1072; 1:10.3897; 10:7.55624
discontinuous_gradient,cubic,"42,43,44,45,46",5,eval_h1,0.0,0.1533514747964943,10.0,0.15335255063358566,1.075837091357723e-06,0.0007015498825723176,1->10,5.355801669104654e-07,0:0.153351; 0.01:0.153352; 0.1:0.153352; 1:0.153352; 10:0.153353
discontinuous_gradient,elu,"42,43,44,45,46",5,near_grad,0.1,0.25607598579482777,10.0,0.26568136851265994,0.009605382717832178,3.750989257355888,0.01->0.1,0.006377241421818058,0:0.261958; 0.01:0.262453; 0.1:0.256076; 1:0.259744; 10:0.265681
discontinuous_gradient,elu,"42,43,44,45,46",5,far_grad,0.0,0.06966526640668563,1.0,0.07659906289825531,0.00693379649156968,9.95301798042684,1->10,0.006627513164125978,0:0.0696653; 0.01:0.0724496; 0.1:0.0707454; 1:0.0765991; 10:0.0699715
discontinuous_gradient,elu,"42,43,44,45,46",5,near_far_ratio,1.0,3.417535384748687,10.0,3.858597740341878,0.44106235559319096,12.90586068432544,1->10,0.44106235559319096,0:3.76761; 0.01:3.62716; 0.1:3.64711; 1:3.41754; 10:3.8586
discontinuous_gradient,elu,"42,43,44,45,46",5,neurons,0.0,87.2,0.01,90.4,3.200000000000003,3.6697247706422047,0->0.01,3.200000000000003,0:87.2; 0.01:90.4; 0.1:88.8; 1:87.6; 10:87.4
discontinuous_gradient,elu,"42,43,44,45,46",5,near_score,1.0,22.751617102813473,0.01,23.72288092492133,0.9712638221078578,4.268988079918728,0.01->0.1,0.947399045178738,0:22.8491; 0.01:23.7229; 0.1:22.7755; 1:22.7516; 10:23.1888
discontinuous_gradient,elu,"42,43,44,45,46",5,eval_h1,0.1,0.08419152126624375,1.0,0.08725151275318623,0.0030599914869424705,3.6345601563198757,0.1->1,0.0030599914869424705,0:0.0850691; 0.01:0.0859917; 0.1:0.0841915; 1:0.0872515; 10:0.0861725
discontinuous_gradient,elu2,"42,43,44,45,46",5,near_grad,0.1,0.26840465414019155,10.0,0.27634242744419896,0.007937773304007412,2.9573903364065366,0.1->1,0.0075571997968162385,0:0.273517; 0.01:0.274649; 0.1:0.268405; 1:0.275962; 10:0.276342
discontinuous_gradient,elu2,"42,43,44,45,46",5,far_grad,10.0,0.03387804301396818,1.0,0.038352579867548114,0.004474536853579937,13.207778417823754,1->10,0.004474536853579937,0:0.0343003; 0.01:0.0353765; 0.1:0.0358291; 1:0.0383526; 10:0.033878
discontinuous_gradient,elu2,"42,43,44,45,46",5,near_far_ratio,1.0,7.209395094097856,10.0,8.246930615444183,1.037535521346327,14.391436560270227,1->10,1.037535521346327,0:8.07131; 0.01:7.84473; 0.1:7.73296; 1:7.2094; 10:8.24693
discontinuous_gradient,elu2,"42,43,44,45,46",5,neurons,0.1,42.8,1.0,49.8,7.0,16.35514018691589,0.1->1,7.0,0:46; 0.01:44; 0.1:42.8; 1:49.8; 10:49.4
discontinuous_gradient,elu2,"42,43,44,45,46",5,near_score,0.1,11.46138712084414,1.0,13.799805361412266,2.338418240568126,20.402576197041498,0.1->1,2.338418240568126,0:12.6169; 0.01:12.1378; 0.1:11.4614; 1:13.7998; 10:13.6589
discontinuous_gradient,elu2,"42,43,44,45,46",5,eval_h1,0.1,0.07745409837790679,1.0,0.07912991562819797,0.0016758172502911867,2.1636263095010104,0.1->1,0.0016758172502911867,0:0.0781185; 0.01:0.078952; 0.1:0.0774541; 1:0.0791299; 10:0.0787227
discontinuous_gradient,elu2_b0_5,"42,43,44,45,46",5,near_grad,10.0,0.22599687637271415,0.01,0.27516018754353455,0.0491633111708204,21.75397817876927,1->10,0.04280021048833704,0:0.270165; 0.01:0.27516; 0.1:0.267509; 1:0.268797; 10:0.225997
discontinuous_gradient,elu2_b0_5,"42,43,44,45,46",5,far_grad,0.0,0.037675946885761105,10.0,0.042195580733035754,0.004519633847274648,11.996072350825923,0->0.01,0.004074430328610504,0:0.0376759; 0.01:0.0417504; 0.1:0.0420267; 1:0.0383735; 10:0.0421956
discontinuous_gradient,elu2_b0_5,"42,43,44,45,46",5,near_far_ratio,10.0,5.463553558870652,0.0,7.337881632722857,1.8743280738522046,34.306025440329705,1->10,1.5546184467738113,0:7.33788; 0.01:6.65237; 0.1:6.41759; 1:7.01817; 10:5.46355
